,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,Modifiers
108,Tunnel_FB_2025_07_01_JH_JAS_Willi2_12-02-27,771.7494496363005,46305,801.7494282421819,48105.0,Willi2,man_check_duration,man_check_duration,,,,
109,Tunnel_FB_2025_07_01_JH_JAS_Willi2_12-02-27,772.4161158275423,46345,786.5161057723066,47191.0,Willi2,latency,latency,,,,
110,Tunnel_FB_2025_07_01_JH_JAS_Peanut4_16-34-34,1053.5497039729,63213,1083.5496955434824,65013.0,Peanut4,man_check_duration,man_check_duration,,,,
111,Tunnel_FB_2025_07_01_JH_JAS_Peanut4_16-34-34,1054.483037043985,63269,1057.349702905174,63441.0,Peanut4,latency,latency,,,,
112,Tunnel_FB_2025_07_07_JAS_FL_Ibsen_11-33-05,929.0830356893839,55745,959.0830260784932,57545.0,Ibsen,man_check_duration,man_check_duration,,,,
113,Tunnel_FB_2025_07_07_JAS_FL_Ibsen_11-33-05,929.5497022065479,55773,935.8330335269335,56150.0,Ibsen,latency,latency,,,,
114,Tunnel_FB_2025_07_09_JAS_JH_Milow5_14-12-55,733.2327830681692,43994,763.2327605542515,45794.0,Milow5,man_check_duration,man_check_duration,,,,
115,Tunnel_FB_2025_07_09_JAS_JH_Milow5_14-12-55,733.6827827304604,44021,763.2327605542515,45794.0,Milow5,latency,latency,,,,
116,Tunnel_FB_2025_06_02_FL_JAS_Nebou_14-08-30,1048.55,62913,1078.55,64713.0,Nebou,man_check_duration,man_check_duration,,,,
117,Tunnel_FB_2025_06_02_FL_JAS_Nebou_14-08-30,1049.8833333333334,62993,1063.5166666666667,63811.0,Nebou,latency,latency,,,,
118,Tunnel_FB_2025_07_14_JH_JAS_Enya6_13-06-58,872.0325160606078,52322,902.0324879445017,54122.0,Enya6,man_check_duration,man_check_duration,,,,
119,Tunnel_FB_2025_07_14_JH_JAS_Enya6_13-06-58,872.8325153108449,52370,902.0324879445017,54122.0,Enya6,latency,latency,,,,
120,Tunnel_FB_2025_07_09_JAS_JH_Abby4_12-11-21,645.9661290128125,38758,675.9661040430789,40558.0,Abby4,man_check_duration,man_check_duration,,,,
121,Tunnel_FB_2025_07_09_JAS_JH_Abby4_12-11-21,646.6494617773908,38799,657.7327858857948,39464.0,Abby4,latency,latency,,,,
122,Tunnel_FB_2025_07_09_JH_JAS_Abby5_13-18-11,707.8833333333333,42473,737.8833333333333,44273.0,Abby5,man_check_duration,man_check_duration,,,,
123,Tunnel_FB_2025_07_09_JH_JAS_Abby5_13-18-11,708.8,42528,737.8833333333333,44273.0,Abby5,latency,latency,,,,
124,Tunnel_FB_2025_06_17_JAS_JH_Baloo2_11-08-38,751.2166666666667,45073,781.2166666666667,46873.0,Baloo2,man_check_duration,man_check_duration,,,,
125,Tunnel_FB_2025_06_17_JAS_JH_Baloo2_11-08-38,751.7,45102,781.2166666666667,46873.0,Baloo2,latency,latency,,,,
126,Tunnel_FB_2025_05_20_JAS_JH_Aramis8_12-59-50,958.9333333333333,57536,988.9333333333333,59336.0,Aramis8,man_check_duration,man_check_duration,,,,
127,Tunnel_FB_2025_05_20_JAS_JH_Aramis8_12-59-50,959.4333333333333,57566,988.9333333333333,59336.0,Aramis8,latency,latency,,,,
128,Tunnel_FB_2025_06_19_FL_JAS_Quentin3_13-46-58,943.0333333333333,56582,973.0333333333333,58382.0,Quentin3,man_check_duration,man_check_duration,,,,
129,Tunnel_FB_2025_06_19_FL_JAS_Quentin3_13-46-58,946.75,56805,973.0333333333333,58382.0,Quentin3,latency,latency,,,,
130,Tunnel_FB_2025_06_25_JH_JAS_Woody2_10-30-35,771.2163825215433,46273,801.216371468419,48073.0,Woody2,man_check_duration,man_check_duration,,,,
131,Tunnel_FB_2025_06_25_JH_JAS_Woody2_10-30-35,771.916382263637,46315,801.216371468419,48073.0,Woody2,latency,latency,,,,
132,Tunnel_FB_2025_07_09_JAS_JH_Cookie11_13-39-24,619.5328104000406,37172,649.532785077757,38972.0,Cookie11,man_check_duration,man_check_duration,,,,
133,Tunnel_FB_2025_07_09_JAS_JH_Cookie11_13-39-24,621.5328087118884,37292,623.3328071925513,37400.0,Cookie11,latency,latency,,,,
134,Tunnel_FB_2025_10_02_JD_JH_Dia_17-31-01,782.699751542739,46962,812.699742019655,48762.0,Dia,man_check_duration,man_check_duration,,,,
135,Tunnel_FB_2025_10_02_JD_JH_Dia_17-31-01,783.4330846432858,47006,786.316417061345,47179.0,Dia,latency,latency,,,,
136,Tunnel_FB_2025_10_03_JD_JH_Balu3_15-25-13,865.9825193480718,51959,895.9824911494254,53759.0,Balu3,man_check_duration,man_check_duration,,,,
137,Tunnel_FB_2025_10_03_JD_JH_Balu3_15-25-13,866.3325190190876,51980,895.9824911494254,53759.0,Balu3,latency,latency,,,,
