,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,Modifiers
81,Tunnel_FB_2025_06_16_JAS_FL_Louie3_16-05-06,708.3833333333333,42503,728.0,43680.0,Louie3,latency,latency,,,,
82,Tunnel_FB_2025_06_24_JAS_JH_Finch2_17-22-09,859.8330376691,51590,889.9663606407173,53398.0,Finch2,man_check_duration,man_check_duration,,,,
83,Tunnel_FB_2025_06_24_JAS_JH_Finch2_17-22-09,860.6330373940102,51638,862.1663702000881,51730.0,Finch2,latency,latency,,,,
84,Tunnel_FB_2025_06_19_JAS_FL_Aoife_15-14-26,1037.4833333333333,62249,1069.4333333333334,64166.0,Aoife,man_check_duration,man_check_duration,,,,
85,Tunnel_FB_2025_06_19_JAS_FL_Aoife_15-14-26,1038.2333333333333,62294,1069.3333333333333,64160.0,Aoife,latency,latency,,,,
86,Tunnel_FB_2025_06_23_FL_JAS_Leia5_14-15-19,953.39915267782,57204,989.5157872462563,59371.0,Leia5,man_check_duration,man_check_duration,,,,
87,Tunnel_FB_2025_06_23_FL_JAS_Leia5_14-15-19,954.7991514335877,57288,989.4157873351301,59365.0,Leia5,latency,latency,,,,
88,Tunnel_FB_2025_06_23_FL_JAS_Fleeti_15-01-13,788.4327800256037,47306,819.7327580598507,49184.0,Fleeti,man_check_duration,man_check_duration,,,,
89,Tunnel_FB_2025_06_23_FL_JAS_Fleeti_15-01-13,789.0994462244163,47346,794.7327756043819,47684.0,Fleeti,latency,latency,,,,
90,Tunnel_FB_2025_06_25_JAS_JH_Paddy_10-01-51,919.7666666666667,55186,948.35,56901.0,Paddy,man_check_duration,man_check_duration,,,,
91,Tunnel_FB_2025_06_25_JAS_JH_Paddy_10-01-51,920.4666666666667,55228,948.2666666666667,56896.0,Paddy,latency,latency,,,,
